t,q0,q1,q2,q3,q4,q5,q6
0,0,0,0,0,0,0,0
0.01,-0.73432403813911,0.0372837616074834,0.333419873229007,0.433027154615313,-0.0235208148534814,-0.235702493068965,-0.0235208148534814
0.02,0.517789945299037,0.00967941211409465,-4.8203507871121,5.72235661948791,-86.2096385477231,-1.62337358595754,86.1349771203345
0.03,-0.779047843971233,0.00962854743735473,0.549523748433949,0.200289055960311,-0.0133577569761789,-0.267922375044837,-0.0626474454093573
0.04,-0.77777520817865,0.00964365970985789,0.541583568222964,0.207317888990551,-0.0105433366096547,-0.268285758308221,-0.0653965542788885
0.05,-0.776479247499987,0.00966045420782244,0.533581896616379,0.214407990718242,-0.00791942208326434,-0.268663978680505,-0.0679562987151501
0.06,-0.775160656576922,0.0096789250187555,0.525527307045186,0.221548918199024,-0.0054853069470643,-0.269055385071599,-0.0703274573502326
0.07,-0.773820149247304,0.00969906661849632,0.517428276176614,0.228730368996352,-0.00323988535317277,-0.269458344782527,-0.0725111956747374
0.08,-0.772458458773659,0.00972087387373815,0.509293164741981,0.235942207190155,-0.00118166013076415,-0.269871247157623,-0.074509058142902
0.09,-0.771076337779057,0.00974434204519629,0.501130198312281,0.243174489090281,0.000691247805564843,-0.270292507274371,-0.0763229589916462
0.1,-0.769674557870138,0.00976946679141901,0.492947448134008,0.250417488482231,0.00238108866225978,-0.270720569645622,-0.077955171720959
0.11,-0.76825390893426,0.00979624417323573,0.484752812152289,0.257661721222606,0.00389047155563538,-0.271153911906195,-0.0794083172019664
0.12,-0.766815198105041,0.009824670658818,0.47655399636036,0.264897968994937,0.00522235087166811,-0.271591048453723,-0.0806853503996538
0.13,-0.765359248397756,0.00985474312930702,0.468358496623004,0.272117302034205,0.00638001120753875,-0.272030534012021,-0.0817895457189794
0.14,-0.763886897022946,0.00988645888496347,0.460173581127241,0.279311100629333,0.00736705092868181,-0.272470967084408,-0.0827244810056388
0.15,-0.7623989933933,0.00991981565176235,0.452006273615137,0.286471075218897,0.00818736439797102,-0.272910993264193,-0.0834940202552045
0.16,-0.7608963968449,0.00995481158836104,0.44386333755241,0.293589284904237,0.0088451229562643,-0.273349308370008,-0.0841022951065608
0.17,-0.759379974099553,0.00999144529335061,0.435751261381171,0.300658154217754,0.00934475475491933,-0.273784661374885,-0.0845536852165835
0.18,-0.757850596499706,0.0100297158126841,0.427676244997121,0.307670488000474,0.00969092356088977,-0.274215857099734,-0.0848527976327063
0.19,-0.756309137051555,0.0100696226471886,0.419644187579861,0.314619484263008,0.00988850667284732,-0.274641758644352,-0.0850044452975749
0.2,-0.75475646731519,0.0101111657600442,0.411660676890975,0.321498744926221,0.00994257210224575,-0.275061289532063,-0.0850136248352621
0.21,-0.753193454182927,0.010154345584124,0.403730980137875,0.328302284362414,0.00985835518588848,-0.275473435547489,-0.0848854937810274
0.22,-0.751620956588472,0.0101991630290813,0.395860036482778,0.335024535683893,0.00964123480610451,-0.27587724625085,-0.0846253474260708
0.23,-0.750039822189992,0.0102456194880849,0.388052451256189,0.341660354752459,0.00929670940101046,-0.27627183615627,-0.0842385954550859
0.24,-0.748450884069974,0.0102937168440874,0.380312491913031,0.348205021910808,0.00883037295026173,-0.276656385565895,-0.0837307385574333
0.25,-0.746854957493339,0.0103434574755444,0.372644085748074,0.354654241463252,0.00824789112141538,-0.277030141056048,-0.0831073451925811
0.26,-0.745252836763605,0.0103948442614876,0.365050819365577,0.361004138959579,0.00755497775837216,-0.27739241561603,-0.0823740286869917
0.27,-0.743645292213875,0.0104478805858818,0.357535939876986,0.367251256359823,0.00675737188675829,-0.277742588444472,-0.0815364248333126
0.28,-0.742033067366612,0.0105025703411946,0.350102357780418,0.373392545180717,0.0058608154016262,-0.278080104412246,-0.0806001701534904
0.29,-0.740416876292073,0.0105589179311244,0.342752651456612,0.379425357744585,0.00487103159085012,-0.278404473204738,-0.0795708809758186
0.3,-0.738797401191306,0.0106169282724534,0.33548907319911,0.385347436668989,0.00379370463353468,-0.278715268159771,-0.0784541334622111
0.31,-0.737175290225341,0.0106766067959819,0.328313556681134,0.391156902750307,0.00263446019685537,-0.279012124820522,-0.0772554447065197
0.32,-0.735551155607507,0.0107379594465408,0.321227725748657,0.396852241405912,0.00139884723758771,-0.279294739225388,-0.0759802550079454
0.33,-0.733925571971409,0.01080099268207,0.314232904418661,0.402432287848174,9.2321096539616E-05,-0.279562865958897,-0.0746339114060139
0.34,-0.732299075022515,0.0108657134717681,0.307330127953288,0.407896211168988,-0.00127977204446972,-0.279816315989407,-0.0732216525454034
0.35,-0.730672160477015,0.010932129293339,0.300520154874898,0.413243497515923,-0.00271220929201743,-0.280054954320469,-0.071748594920775
0.36,-0.729045283287519,0.0110002481293567,0.293803479783729,0.418473932540666,-0.00419990372411233,-0.280278697483436,-0.0702197205338552
0.37,-0.72741885715131,0.0110700784627799,0.287180346838771,0.423587583297375,-0.00573791561173187,-0.280487510899056,-0.0686398659777547
0.38,-0.725793254293513,0.0111416292716763,0.280650763763569,0.428584779763137,-0.0073214621804531,-0.280681406135606,-0.0670137129471499
0.39,-0.724168805514403,0.0112149100231852,0.27421451624174,0.433466096145144,-0.00894592592926913,-0.280860438090469,-0.0653457801577919
0.4,-0.722545800487542,0.0112899306667904,0.267871182571756,0.438232332129963,-0.0106068615378147,-0.281024702121119,-0.0636404166449438
0.41,-0.720924488293146,0.0113667016269544,0.261620148456779,0.442884494219492,-0.0123000014058574,-0.281174331150197,-0.0619017963979881
0.42,-0.719305078169424,0.0114452337951727,0.255460621813013,0.447423777286267,-0.0140212598798012,-0.281309492767828,-0.0601339142777733
0.43,-0.717687740463235,0.0115255385215246,0.24939164748837,0.45185154646819,-0.0157667362303459,-0.281430386352655,-0.0583405831540307
0.44,-0.71607260776052,0.0116076276057603,0.24341212179272,0.456169319509465,-0.0175327164529799,-0.281537240231161,-0.0565254321928527
0.45,-0.714459776176411,0.011691513288015,0.237520806750657,0.460378749641157,-0.0193156739689828,-0.281630308892883,-0.0546919062182703
0.46,-0.712849306784751,0.0117772082391893,0.231716343997898,0.46448160908135,-0.021112269308961,-0.281709870277134,-0.0528432660677577
0.47,-0.711241227166877,0.0118647255510661,0.225997268252589,0.468479773221751,-0.022919348863821,-0.28177622314477,-0.0509825898586243
0.48,-0.709635533059917,0.0119540787262202,0.22036202030279,0.472375205554911,-0.0247339427895992,-0.281829684546528,-0.0491127750807619
0.49,-0.708032190085521,0.0120452816677731,0.214808959461464,0.476169943384039,-0.026553262152703,-0.281870587397514,-0.0472365414310852
0.5,-0.706431135540757,0.0121383486690414,0.209336375449481,0.479866084346111,-0.0283746954013505,-0.281899278165498,-0.0453564343057292
0.51,-0.704832280233956,0.0122332944031316,0.203942499676393,0.483465773768324,-0.0301958042469623,-0.281916114678909,-0.0434748288680621
0.52,-0.70323551034935,0.0123301339125187,0.198625515896836,0.486971192868415,-0.0320143190367156,-0.281921464058742,-0.0415939346130472
0.53,-0.70164068932564,0.0124288825986459,0.193383570228475,0.490384547800481,-0.0338281336948857,-0.281915700777033,-0.039715800351997
0.54,-0.700047659734838,0.0125295562115902,0.188214780524173,0.493708059540342,-0.0356353003068028,-0.281899204843183,-0.0378423195454771
0.55,-0.698456245149092,0.0126321708398108,0.18311724509769,0.496943954597548,-0.0374340234147139,-0.281872360118124,-0.0359752359165526
0.56,-0.696866251984442,0.0127367429000207,0.178089050807661,0.500094456535343,-0.0392226540902595,-0.281835552755203,-0.0341161492810599
0.57,-0.695277471311825,0.012843289127192,0.173128280509692,0.503161778274873,-0.0409996838432864,-0.281789169765689,-0.0322665215364638
0.58,-0.693689680626823,0.0129518265647248,0.168233019890601,0.50614811515582,-0.0427637384217618,-0.281733597705993,-0.0304276827557197
0.59,-0.692102645570938,0.0130623725547925,0.163401363702437,0.50905563872235,-0.044513571552516,-0.281669221482907,-0.0286008373374848
0.6,-0.69051612159823,0.0131749447288718,0.158631421416936,0.511886491200623,-0.0462480586675668,-0.2815964232727,-0.0267870701689054
0.61,-0.688929855582321,0.0132895609984766,0.153921322323384,0.514642780632311,-0.0479661906559637,-0.281515581549321,-0.0249873527619152
0.62,-0.687343587359707,0.0134062395460963,0.149269220094797,0.517326576627189,-0.0496670676763769,-0.281427070216699,-0.0232025493285973
0.63,-0.685757051206244,0.0135249988163478,0.144673296848712,0.51993990669713,-0.0513498930611575,-0.281331257839814,-0.0214334227655743
